AlphA. deg.	Ni Ka XRF, A.u. curve 2	AlphA. deg.	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	--	0,03023	0,11108	0,03042	0,02571
--	--	--	--	--	--	0,03031	0,11155	0,03052	0,02587
--	--	--	--	--	--	0,03039	0,11202	0,03061	0,02603
--	--	--	--	--	--	0,03048	0,11249	0,03071	0,02619
--	--	--	--	--	--	0,03056	0,11297	0,0308	0,02635
--	--	--	--	--	--	0,03065	0,11344	0,0309	0,02652
--	--	--	--	--	--	0,03073	0,11392	0,03099	0,02668
--	--	--	--	--	--	0,03081	0,11439	0,03108	0,02684
--	--	--	--	--	--	0,0309	0,11487	0,03118	0,02701
--	--	--	--	--	--	0,03098	0,11535	0,03127	0,02718
--	--	--	--	--	--	0,03107	0,11583	0,03137	0,02734
--	--	--	--	--	--	0,03115	0,11631	0,03146	0,02751
--	--	--	--	--	--	0,03123	0,11679	0,0315	0,02758
--	--	--	--	--	--	0,03124	0,11682	0,03156	0,02768
--	--	--	--	--	--	0,03132	0,11727	0,03165	0,02785
--	--	--	--	--	--	0,0314	0,11776	0,03175	0,02802
--	--	--	--	--	--	0,03149	0,11825	0,03184	0,02819
--	--	--	--	--	--	0,03157	0,11873	0,03194	0,02836
--	--	--	--	--	--	0,03165	0,11922	0,03203	0,02854
--	--	--	--	--	--	0,03174	0,11971	0,03212	0,02871
--	--	--	--	--	--	0,03182	0,1202	0,03222	0,02889
--	--	--	--	--	--	0,03191	0,12069	0,03231	0,02906
--	--	--	--	--	--	0,03199	0,12119	0,03241	0,02924
--	--	--	--	--	--	0,03208	0,12168	0,0325	0,02942
--	--	--	--	--	--	0,03216	0,12218	0,0326	0,02959
--	--	--	--	--	--	0,03224	0,12267	0,03269	0,02977
--	--	--	--	--	--	0,03233	0,12317	0,03279	0,02995
--	--	--	--	--	--	0,03241	0,12367	0,03288	0,03014
--	--	--	--	--	--	0,0325	0,12417	0,03298	0,03032
--	--	--	--	--	--	0,03258	0,12467	0,03307	0,0305
--	--	--	--	--	--	0,03266	0,12518	0,03317	0,03068
--	--	--	--	--	--	0,03275	0,12568	0,03326	0,03087
--	--	--	--	--	--	0,03283	0,12619	0,03335	0,03105
--	--	--	--	--	--	0,03292	0,12669	0,03345	0,03124
--	--	--	--	--	--	0,033	0,1272	0,03354	0,03143
--	--	--	--	--	--	0,033	0,1272	0,03364	0,03162
--	--	--	--	--	--	0,03308	0,12771	0,03373	0,03181
--	--	--	--	--	--	0,03317	0,12822	0,03383	0,032
--	--	--	--	--	--	0,03325	0,12873	0,03392	0,03219
--	--	--	--	--	--	0,03334	0,12925	0,03402	0,03238
--	--	--	--	--	--	0,03342	0,12976	0,03411	0,03257
--	--	--	--	--	--	0,0335	0,13028	0,03421	0,03277
--	--	--	--	--	--	0,03359	0,13079	0,0343	0,03296
--	--	--	--	--	--	0,03367	0,13131	0,0344	0,03316
--	--	--	--	--	--	0,03376	0,13183	0,03449	0,03335
--	--	--	--	--	--	0,03384	0,13235	0,03458	0,03355
--	--	--	--	--	--	0,03392	0,13288	0,03468	0,03375
--	--	--	--	--	--	0,03401	0,1334	0,03477	0,03395
--	--	--	--	--	--	0,03409	0,13392	0,03487	0,03415
--	--	--	--	--	--	0,03418	0,13445	0,03496	0,03435
--	--	--	--	--	--	0,03426	0,13498	0,035	0,03443
--	--	--	--	--	--	0,03435	0,13551	0,03506	0,03456
--	--	--	--	--	--	0,03443	0,13604	0,03515	0,03476
--	--	--	--	--	--	0,03451	0,13657	0,03525	0,03496
--	--	--	--	--	--	0,0346	0,1371	0,03534	0,03517
--	--	--	--	--	--	0,03468	0,13764	0,03544	0,03538
--	--	--	--	--	--	0,03474	0,13801	0,03553	0,03559
--	--	--	--	--	--	0,03477	0,13817	0,03562	0,03579
--	--	--	--	--	--	0,03485	0,13871	0,03572	0,036
--	--	--	--	--	--	0,03493	0,13925	0,03581	0,03622
--	--	--	--	--	--	0,03502	0,13979	0,03591	0,03643
--	--	--	--	--	--	0,0351	0,14033	0,036	0,03664
--	--	--	--	--	--	0,03519	0,14087	0,0361	0,03685
--	--	--	--	--	--	0,03527	0,14141	0,03619	0,03707
--	--	--	--	--	--	0,03535	0,14196	0,03629	0,03729
--	--	--	--	--	--	0,03544	0,14251	0,03638	0,0375
--	--	--	--	--	--	0,03552	0,14305	0,03648	0,03772
