Wavelength, nm	Absorbance, a.u. - curve 1	Wavelength, nm	Absorbance, a.u. - curve 3	Wavelength, nm	Absorbance, a.u. - curve 2	Wavelength, nm	Absorbance, a.u. - curve 4
328,20395	-0,04483	328,24395	-0,11092	329,39993	-0,1418	428	-0,04951
328,80197	-0,04432	328,84197	-0,11011	329,99789	-0,14264	428,5	-0,0498
329,39993	-0,04357	329,43993	-0,10951	330,59583	-0,14317	429	-0,04995
329,99789	-0,0429	330,03789	-0,1086	331,19373	-0,14398	429,5	-0,04928
330,59583	-0,04187	330,63583	-0,10714	331,79156	-0,14432	430	-0,04915
331,19373	-0,04148	331,23373	-0,10626	332,3894	-0,14453	430,5	-0,04881
331,79156	-0,04048	331,83156	-0,10488	332,98721	-0,1446	431	-0,04857
332,3894	-0,03926	332,4294	-0,10316	333,58499	-0,14488	431,5	-0,04823
332,98721	-0,038	333,02721	-0,10138	334,18277	-0,14487	432	-0,04838
333,58499	-0,03677	333,62499	-0,09967	334,78049	-0,14497	432,5	-0,04789
334,18277	-0,03577	334,22277	-0,09797	335,37817	-0,1445	433	-0,04733
334,78049	-0,0349	334,82049	-0,09643	335,97583	-0,14399	433,5	-0,04657
335,37817	-0,03364	335,41817	-0,09426	336,57349	-0,14363	434	-0,04638
335,97583	-0,03242	336,01583	-0,09205	337,17108	-0,14323	434,5	-0,04536
336,57349	-0,0313	336,61349	-0,09027	337,76868	-0,14237	435	-0,04519
337,17108	-0,03034	337,21108	-0,08816	338,36621	-0,14185	435,5	-0,04461
337,76868	-0,02914	337,80868	-0,086	338,96375	-0,14076	436	-0,04414
338,36621	-0,02824	338,40621	-0,08419	339,56125	-0,13963	436,5	-0,04335
338,96375	-0,02686	339,00375	-0,0819	340,15869	-0,13845	437	-0,04269
339,56125	-0,02552	339,60125	-0,07979	340,75613	-0,13731	437,5	-0,0421
340,15869	-0,02456	340,19869	-0,07766	341,35355	-0,13622	438	-0,04124
340,75613	-0,02345	340,79613	-0,07537	341,95093	-0,13467	438,5	-0,04142
341,35355	-0,02242	341,39355	-0,07336	342,54828	-0,133	439	-0,04019
341,95093	-0,02147	341,99093	-0,07111	343,1456	-0,13156	439,5	-0,03967
342,54828	-0,02034	342,58828	-0,06888	343,74289	-0,12998	440	-0,0384
343,1456	-0,01929	343,1856	-0,06711	344,34015	-0,12863	440,5	-0,03773
343,74289	-0,01824	343,78289	-0,06542	344,93741	-0,12702	441	-0,03732
344,34015	-0,01752	344,38015	-0,0635	345,53461	-0,12563	441,5	-0,03633
344,93741	-0,01641	344,97741	-0,06181	346,13177	-0,12386	442	-0,03587
345,53461	-0,0159	345,57461	-0,06031	346,72894	-0,12239	442,5	-0,0354
346,13177	-0,01496	346,17177	-0,05861	347,32605	-0,12053	443	-0,03477
346,72894	-0,01418	346,76894	-0,05707	347,92316	-0,11931	443,5	-0,03396
347,32605	-0,01355	347,36605	-0,05555	348,5202	-0,11779	444	-0,03355
347,92316	-0,01307	347,96316	-0,05435	349,11725	-0,11608	444,5	-0,03219
348,5202	-0,01257	348,5602	-0,05296	349,71423	-0,11451	445	-0,03218
349,11725	-0,012	349,15725	-0,05165	350,31122	-0,11328	445,5	-0,03061
349,71423	-0,01119	349,75423	-0,05053	350,90817	-0,1116	446	-0,03016
350,31122	-0,01043	350,35122	-0,04957	351,5051	-0,11052	446,5	-0,03
350,90817	-0,00994	350,94817	-0,04852	352,10199	-0,10901	447	-0,02917
351,5051	-0,00955	351,5451	-0,04776	352,69882	-0,1077	447,5	-0,02867
352,10199	-0,00896	352,14199	-0,0467	353,29565	-0,10639	448	-0,02806
352,69882	-0,0085	352,73882	-0,04578	353,89246	-0,10485	448,5	-0,02681
353,29565	-0,00816	353,33565	-0,04507	354,48926	-0,10323	449	-0,02586
353,89246	-0,00785	353,93246	-0,04418	355,086	-0,1023	449,5	-0,02548
354,48926	-0,00701	354,52926	-0,04338	355,68271	-0,10097	450	-0,02481
355,086	-0,00663	355,126	-0,04297	356,27939	-0,09966	450,5	-0,02379
355,68271	-0,00632	355,72271	-0,04221	356,87604	-0,09841	451	-0,02333
356,27939	-0,00594	356,31939	-0,04127	357,47266	-0,09718	451,5	-0,02256
356,87604	-0,00539	356,91604	-0,04058	358,06927	-0,09588	452	-0,02192
357,47266	-0,00522	357,51266	-0,0401	358,66583	-0,09495	452,5	-0,02067
358,06927	-0,00469	358,10927	-0,03972	359,26239	-0,09363	453	-0,02014
358,66583	-0,00461	358,70583	-0,03946	359,85889	-0,09276	453,5	-0,01986
359,26239	-0,00413	359,30239	-0,03884	360,45535	-0,09137	454	-0,01906
359,85889	-0,00399	359,89889	-0,0383	361,05182	-0,09039	454,5	-0,01834
360,45535	-0,00368	360,49535	-0,03771	361,64825	-0,08925	455	-0,01754
361,05182	-0,00348	361,09182	-0,03731	362,24463	-0,0884	455,5	-0,01658
361,64825	-0,00317	361,68825	-0,03682	362,841	-0,08729	456	-0,01582
362,24463	-0,00297	362,28463	-0,03639	363,43735	-0,0864	456,5	-0,01538
362,841	-0,00276	362,881	-0,03581	364,03363	-0,08519	457	-0,0146
363,43735	-0,0024	363,47735	-0,03519	364,62991	-0,0844	457,5	-0,01408
364,03363	-0,00203	364,07363	-0,03458	365,22617	-0,0832	458	-0,01388
364,62991	-0,0022	364,66991	-0,03418	365,82239	-0,08211	458,5	-0,01265
365,22617	-0,0017	365,26617	-0,03349	366,41858	-0,08103	459	-0,01201
365,82239	-0,00145	365,86239	-0,03296	367,01471	-0,08038	459,5	-0,01155
366,41858	-0,00102	366,45858	-0,03241	367,61084	-0,07914	460	-0,01077
367,01471	-0,00124	367,05471	-0,03219	368,20694	-0,07854	460,5	-0,01024
367,61084	-0,0012	367,65084	-0,03138	368,80301	-0,07754	461	-0,00998
368,20694	-0,00138	368,24694	-0,03114	369,39905	-0,07655	461,5	-0,00903
368,80301	-0,00131	368,84301	-0,03047	369,99506	-0,07543	462	-0,00898
369,39905	-0,00131	369,43905	-0,03005	370,59106	-0,07422	462,5	-0,0088
369,99506	-0,00159	370,03506	-0,02943	371,18701	-0,07303	463	-0,00894
