Wavelength, nm	Absorbance, a.u. - curve 2	Wavelength, nm	Absorbance, a.u. - curve 4	Wavelength, nm	Absorbance, a.u. - curve 1	Wavelength, nm	Absorbance, a.u. - curve 3
307,79466	0,0288	372	0,02144	372	0,01468	426,1969	0,05777
308,08574	0,02492	372,5	0,02199	372,5	0,01479	426,78604	0,06097
308,3768	0,02319	373	0,02155	373	0,01502	427,37509	0,06398
308,66785	0,02342	373,5	0,02153	373,5	0,01523	427,96414	0,06737
308,95887	0,02585	374	0,02225	374	0,01525	428,55313	0,07079
309,24988	0,02267	374,5	0,02158	374,5	0,01552	429,14209	0,07436
309,54086	0,02302	375	0,02194	375	0,01568	429,73099	0,0778
309,83183	0,02487	375,5	0,02193	375,5	0,0158	430,31985	0,08124
310,12278	0,02262	376	0,02284	376	0,01603	430,90869	0,0846
310,41371	0,02284	376,5	0,02119	376,5	0,0164	431,49747	0,08784
310,70461	0,02271	377	0,02182	377	0,0164	432,08621	0,09031
310,9955	0,02334	377,5	0,0213	377,5	0,01656	432,67493	0,09232
311,28637	0,02711	378	0,02142	378	0,01675	433,26358	0,0935
311,57723	0,02427	378,5	0,02186	378,5	0,01705	433,8522	0,09417
311,86806	0,02967	379	0,02278	379	0,01714	434,44077	0,094
312,15887	0,03153	379,5	0,02183	379,5	0,01735	435,0293	0,09283
312,44966	0,02876	380	0,02185	380	0,01739	435,6178	0,09045
312,74044	0,03437	380,5	0,0229	380,5	0,01748	436,20624	0,08712
313,03119	0,03214	381	0,02219	381	0,0177	436,79465	0,08306
313,32193	0,03161	381,5	0,02228	381,5	0,01797	437,38303	0,07863
313,61264	0,03192	382	0,02145	382	0,01817	437,97134	0,07386
313,90334	0,02679	382,5	0,02187	382,5	0,01842	438,55963	0,069
314,19401	0,0279	383	0,02177	383	0,01851	439,14789	0,06422
314,48467	0,03118	383,5	0,02229	383,5	0,01869	439,73608	0,05964
314,77531	0,02547	384	0,02178	384	0,01895	440,32425	0,05522
315,06593	0,02343	384,5	0,02167	384,5	0,01929	440,91235	0,05117
315,35653	0,01984	385	0,02174	385	0,01948	441,50043	0,04753
315,64711	0,02293	385,5	0,02156	385,5	0,02005	442,08847	0,04453
315,93767	0,02063	386	0,02307	386	0,02043	442,67648	0,04169
316,22821	0,02199	386,5	0,02177	386,5	0,02082	443,26443	0,03921
316,51873	0,0246	387	0,02178	387	0,02142	443,85233	0,03677
316,80923	0,02485	387,5	0,02203	387,5	0,02201	444,44022	0,03488
317,09971	0,02683	388	0,02161	388	0,02261	445,02805	0,03315
317,39017	0,02517	388,5	0,02229	388,5	0,02351	445,61581	0,03149
317,68062	0,02914	389	0,02231	389	0,02432	446,20355	0,03007
317,97104	0,02559	389,5	0,02307	389,5	0,02538	446,79126	0,02867
318,26144	0,02613	390	0,02313	390	0,02647	447,37894	0,02769
318,55183	0,02464	390,5	0,0226	390,5	0,02773	447,96655	0,02662
318,84219	0,02351	391	0,02397	391	0,02904	448,55414	0,02566
319,13254	0,02673	391,5	0,02409	391,5	0,03039	449,14166	0,02459
319,42286	0,02642	392	0,02355	392	0,03193	449,72916	0,02357
319,71317	0,02643	392,5	0,02493	392,5	0,03361	450,31662	0,02276
320,00346	0,03249	393	0,0238	393	0,03516	450,90402	0,02213
320,29372	0,03351	393,5	0,024	393,5	0,03704	451,49139	0,02137
320,58397	0,03581	394	0,02353	394	0,03884	452,0787	0,02086
320,8742	0,03674	394,5	0,02329	394,5	0,04093	452,66602	0,02038
321,16441	0,04248	395	0,02362	395	0,04315	453,25323	0,02017
321,4546	0,04728	395,5	0,0251	395,5	0,04512	453,84045	0,01977
321,74477	0,04227	396	0,02541	396	0,04743	454,42761	0,0194
322,03491	0,04384	396,5	0,02592	396,5	0,04957	455,01474	0,01904
322,32504	0,04041	397	0,0257	397	0,05203	455,60181	0,01842
322,61515	0,03502	397,5	0,02634	397,5	0,05457	456,18884	0,01774
322,90524	0,03462	398	0,02585	398	0,05674	456,77585	0,01723
323,19532	0,03274	398,5	0,02651	398,5	0,05927	457,36279	0,01699
323,48537	0,0336	399	0,02683	399	0,06152	457,94971	0,01691
323,7754	0,03114	399,5	0,02731	399,5	0,06362	458,53656	0,01672
324,06541	0,03016	400	0,02838	400	0,06588	459,12341	0,01643
324,3554	0,03315	400,5	0,02798	400,5	0,06782	459,71017	0,01607
324,64537	0,03229	401	0,02794	401	0,06971	460,29694	0,01551
324,93533	0,03321	401,5	0,02872	401,5	0,0716	460,88364	0,01539
325,22526	0,0289	402	0,02933	402	0,07291	461,47031	0,01496
325,51517	0,02708	402,5	0,02913	402,5	0,07425	462,05692	0,01493
325,80507	0,02459	403	0,0292	403	0,07522	462,64349	0,01455
326,09494	0,0239	403,5	0,0285	403,5	0,07614	463,23004	0,01468
326,38479	0,01997	404	0,03043	404	0,07664	463,81653	0,01444
326,67463	0,01468	404,5	0,03009	404,5	0,07688	464,40298	0,01424
326,96444	0,01085	405	0,03036	405	0,07703	464,98938	0,01411
327,25424	0,01013	405,5	0,03078	405,5	0,07677	465,57574	0,01406
327,54401	0,01377	406	0,03069	406	0,07618	466,16208	0,01383
327,83376	0,01403	406,5	0,03078	406,5	0,07537	466,74838	0,01356
328,1235	0,01631	407	0,03003	407	0,07432	467,33463	0,01343
328,41321	0,01795	407,5	0,0302	407,5	0,07308	467,92081	0,01339
328,70291	0,02061	408	0,02962	408	0,07144	468,50699	0,01314
328,99259	0,02373	408,5	0,02969	408,5	0,06987	469,09311	0,01282
329,28224	0,02336	409	0,02985	409	0,06794	469,67917	0,01269
329,57188	0,0267	409,5	0,02963	409,5	0,0659	470,2652	0,01281
329,86149	0,03062	410	0,02974	410	0,06361	470,8512	0,01266
330,15109	0,02902	410,5	0,03049	410,5	0,0614	471,43716	0,01241
330,44067	0,02823	411	0,02992	411	0,05886	472,02307	0,0122
330,73022	0,032	411,5	0,0295	411,5	0,05668	472,60892	0,01205
331,01976	0,03205	412	0,02947	412	0,05423	473,19476	0,01216
331,30927	0,03206	412,5	0,02931	412,5	0,05192	473,78055	0,01209
331,59877	0,03733	413	0,02969	413	0,04928	474,36627	0,01196
331,88825	0,03914	413,5	0,02916	413,5	0,04696	474,952	0,01162
332,1777	0,04249	414	0,02946	414	0,04462	475,53766	0,01161
332,46714	0,04421	414,5	0,03055	414,5	0,04228	476,12326	0,01173
332,75656	0,04869	415	0,02986	415	0,04028	476,70883	0,01182
333,04596	0,04877	415,5	0,03	415,5	0,03831	477,29437	0,01138
333,33533	0,04723	416	0,03114	416	0,03645	477,87985	0,01104
333,62469	0,04321	416,5	0,03076	416,5	0,03458	478,4653	0,01097
333,91403	0,04847	417	0,03081	417	0,033	479,05072	0,01102
334,20334	0,04588	417,5	0,03114	417,5	0,03147	479,63608	0,01106
334,49264	0,04611	418	0,03145	418	0,02967	480,22141	0,01092
334,78192	0,04036	418,5	0,03206	418,5	0,02813	480,8067	0,01085
335,07117	0,03305	419	0,03146	419	0,02677	481,39194	0,01091
335,36041	0,0333	419,5	0,03227	419,5	0,0253	481,97714	0,01081
335,64963	0,02509	420	0,03372	420	0,02406	482,56229	0,01067
335,93883	0,0241	420,5	0,03513	420,5	0,0228	483,14743	0,01058
336,228	0,01946	421	0,03563	421	0,02176	483,73248	0,01071
336,51716	0,02187	421,5	0,03677	421,5	0,02071	484,31754	0,01074
336,8063	0,01871	422	0,0381	422	0,01982	484,90253	0,01067
337,09541	0,0162	422,5	0,03862	422,5	0,01879	485,48746	0,01044
337,38451	0,01659	423	0,04031	423	0,01792	486,07236	0,01047
337,67359	0,0153	423,5	0,04154	423,5	0,01715	486,65723	0,01035
337,96264	0,0077	424	0,04372	424	0,0163	487,24207	0,01023
338,25168	0,00395	424,5	0,04509	424,5	0,01563	487,82684	0,01018
338,54069	0,00288	425	0,04596	425	0,01498	488,41159	0,01031
338,82969	0,00685	425,5	0,04767	425,5	0,01441	488,99628	0,01012
339,11867	0,01102	426	0,04869	426	0,01381	489,58093	0,00991
339,40762	0,01334	426,5	0,05112	426,5	0,01329	490,16556	0,0096
339,69656	0,01303	427	0,05157	427	0,01277	490,75012	0,00973
339,98547	0,0138	427,5	0,05385	427,5	0,01232	491,33466	0,00947
340,27437	0,01532	428	0,05544	428	0,01192	491,91913	0,00948
340,56324	0,01768	428,5	0,05724	428,5	0,01152	492,5036	0,00931
340,8521	0,02335	429	0,05896	429	0,01105	493,08798	0,00961
341,14093	0,02826	429,5	0,06026	429,5	0,01074	493,67236	0,00964
341,42975	0,02939	430	0,06158	430	0,01043	494,25668	0,00975
341,71854	0,03381	430,5	0,06241	430,5	0,01009	494,84094	0,00968
342,00732	0,0382	431	0,06288	431	0,00979	495,4252	0,00973
342,29607	0,03768	431,5	0,06268	431,5	0,00953	496,0094	0,00953
342,5848	0,04067	432	0,06313	432	0,00932	496,59354	0,00941
342,87352	0,03939	432,5	0,06223	432,5	0,00901	497,17764	0,00929
343,16221	0,04786	433	0,0612	433	0,00882	497,76172	0,00944
343,45088	0,04804	433,5	0,05966	433,5	0,00853	498,34576	0,00952
343,73954	0,05132	434	0,05708	434	0,00836	498,92975	0,00928
344,02817	0,05566	434,5	0,05432	434,5	0,00823	499,51367	0,00929
344,31678	0,05763	435	0,05055	435	0,0081	500,0976	0,00914
344,60537	0,05276	435,5	0,04672	435,5	0,00788	500,68146	0,00931
344,89394	0,05174	436	0,04372	436	0,00775	501,26526	0,00924
345,1825	0,05106	436,5	0,03993	436,5	0,00759	501,84903	0,00929
345,47103	0,05085	437	0,03667	437	0,00747	502,43277	0,00925
345,75954	0,04904	437,5	0,03288	437,5	0,00724	503,01648	0,0092
346,04803	0,044	438	0,03049	438	0,007	503,60013	0,00931
346,3365	0,0435	438,5	0,02782	438,5	0,00693	504,18372	0,00932
346,62495	0,04041	439	0,0258	439	0,00681	504,7673	0,00939
346,91338	0,04204	439,5	0,02341	439,5	0,00668	505,35083	0,00944
347,20179	0,03358	440	0,02174	440	0,00663	505,9343	0,00943
347,49017	0,03626	440,5	0,02005	440,5	0,00651	506,51773	0,00939
347,77854	0,03431	441	0,01863	441	0,00638	507,10114	0,00901
348,06689	0,03541	441,5	0,01747	441,5	0,00632	507,68451	0,009
