AlphA. deg.	Ni Ka XRF, A.u. curve 2	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	0,02481	0,04871	0,02645	0,01965
--	--	--	--	--	0,0249	0,04898	0,02654	0,01978
--	--	--	--	--	0,02499	0,04926	0,02664	0,01991
--	--	--	--	--	0,02507	0,04953	0,02673	0,02005
--	--	--	--	--	0,02516	0,04981	0,02683	0,02018
--	--	--	--	--	0,02525	0,05009	0,02692	0,02031
--	--	--	--	--	0,02534	0,05037	0,02702	0,02044
--	--	--	--	--	0,02543	0,05065	0,02711	0,02058
--	--	--	--	--	0,02552	0,05093	0,02721	0,02071
--	--	--	--	--	0,02561	0,05121	0,0273	0,02085
--	--	--	--	--	0,0257	0,05149	0,0274	0,02098
--	--	--	--	--	0,02579	0,05178	0,02749	0,02112
--	--	--	--	--	0,02588	0,05206	0,02758	0,02126
--	--	--	--	--	0,02597	0,05235	0,02768	0,02139
--	--	--	--	--	0,02606	0,05263	0,02777	0,02153
--	--	--	--	--	0,02615	0,05292	0,02787	0,02167
--	--	--	--	--	0,02624	0,05321	0,02796	0,02181
--	--	--	--	--	0,02626	0,05329	0,028	0,02187
--	--	--	--	--	0,02633	0,0535	0,02806	0,02195
--	--	--	--	--	0,02641	0,05379	0,02815	0,0221
--	--	--	--	--	0,0265	0,05408	0,02825	0,02224
--	--	--	--	--	0,02659	0,05438	0,02834	0,02238
--	--	--	--	--	0,02668	0,05467	0,02844	0,02252
--	--	--	--	--	0,02677	0,05496	0,02853	0,02267
--	--	--	--	--	0,02686	0,05526	0,02862	0,02281
--	--	--	--	--	0,02695	0,05556	0,02872	0,02296
--	--	--	--	--	0,02704	0,05585	0,02881	0,0231
--	--	--	--	--	0,02713	0,05615	0,02891	0,02325
--	--	--	--	--	0,02722	0,05645	0,029	0,0234
--	--	--	--	--	0,02731	0,05675	0,0291	0,02355
--	--	--	--	--	0,0274	0,05706	0,02919	0,0237
--	--	--	--	--	0,02749	0,05736	0,02929	0,02385
--	--	--	--	--	0,02758	0,05766	0,02938	0,024
--	--	--	--	--	0,02767	0,05797	0,02948	0,02415
--	--	--	--	--	0,02775	0,05828	0,02957	0,0243
--	--	--	--	--	0,02784	0,05858	0,02967	0,02446
--	--	--	--	--	0,02793	0,05889	0,02976	0,02461
--	--	--	--	--	0,028	0,05912	0,02985	0,02476
--	--	--	--	--	0,02802	0,0592	0,02995	0,02492
--	--	--	--	--	0,02811	0,05951	0,03004	0,02508
--	--	--	--	--	0,0282	0,05982	0,03014	0,02523
--	--	--	--	--	0,02829	0,06014	0,03023	0,02539
--	--	--	--	--	0,02838	0,06045	0,03033	0,02555
--	--	--	--	--	0,02847	0,06076	0,03042	0,02571
--	--	--	--	--	0,02856	0,06108	0,03052	0,02587
--	--	--	--	--	0,02865	0,0614	0,03061	0,02603
--	--	--	--	--	0,02874	0,06172	0,03071	0,02619
--	--	--	--	--	0,02883	0,06204	0,0308	0,02635
--	--	--	--	--	0,02892	0,06236	0,0309	0,02652
--	--	--	--	--	0,02901	0,06268	0,03099	0,02668
--	--	--	--	--	0,02909	0,063	0,03108	0,02684
--	--	--	--	--	0,02918	0,06332	0,03118	0,02701
--	--	--	--	--	0,02927	0,06365	0,03127	0,02718
--	--	--	--	--	0,02936	0,06398	0,03137	0,02734
--	--	--	--	--	0,02945	0,0643	0,03146	0,02751
--	--	--	--	--	0,02954	0,06463	0,0315	0,02758
--	--	--	--	--	0,02963	0,06496	0,03156	0,02768
--	--	--	--	--	0,02972	0,06529	0,03165	0,02785
--	--	--	--	--	0,02976	0,06544	0,03175	0,02802
--	--	--	--	--	0,02981	0,06562	0,03184	0,02819
--	--	--	--	--	0,0299	0,06596	0,03194	0,02836
--	--	--	--	--	0,02999	0,06629	0,03203	0,02854
--	--	--	--	--	0,03008	0,06663	0,03212	0,02871
--	--	--	--	--	0,03017	0,06696	0,03222	0,02889
--	--	--	--	--	0,03026	0,0673	0,03231	0,02906
--	--	--	--	--	0,03035	0,06764	0,03241	0,02924
--	--	--	--	--	0,03043	0,06798	0,0325	0,02942
--	--	--	--	--	0,03052	0,06832	0,0326	0,02959
--	--	--	--	--	0,03061	0,06866	0,03269	0,02977
--	--	--	--	--	0,0307	0,06901	0,03279	0,02995
--	--	--	--	--	0,03079	0,06935	0,03288	0,03014
--	--	--	--	--	0,03088	0,0697	0,03298	0,03032
--	--	--	--	--	0,03097	0,07004	0,03307	0,0305
--	--	--	--	--	0,03106	0,07039	0,03317	0,03068
--	--	--	--	--	0,03115	0,07074	0,03326	0,03087
--	--	--	--	--	0,03124	0,07109	0,03335	0,03105
--	--	--	--	--	0,03133	0,07144	0,03345	0,03124
--	--	--	--	--	0,03142	0,0718	0,03354	0,03143
--	--	--	--	--	0,0315	0,07213	0,03364	0,03162
--	--	--	--	--	0,03151	0,07215	0,03373	0,03181
--	--	--	--	--	0,0316	0,07251	0,03383	0,032
--	--	--	--	--	0,03169	0,07286	0,03392	0,03219
--	--	--	--	--	0,03177	0,07322	0,03402	0,03238
--	--	--	--	--	0,03186	0,07358	0,03411	0,03257
--	--	--	--	--	0,03195	0,07394	0,03421	0,03277
--	--	--	--	--	0,03204	0,0743	0,0343	0,03296
--	--	--	--	--	0,03213	0,07467	0,0344	0,03316
--	--	--	--	--	0,03222	0,07503	0,03449	0,03335
--	--	--	--	--	0,03231	0,0754	0,03458	0,03355
--	--	--	--	--	0,0324	0,07577	0,03468	0,03375
--	--	--	--	--	0,03249	0,07613	0,03477	0,03395
--	--	--	--	--	0,03258	0,0765	0,03487	0,03415
--	--	--	--	--	0,03267	0,07687	0,03496	0,03435
--	--	--	--	--	0,03276	0,07725	0,035	0,03443
--	--	--	--	--	0,03285	0,07762	0,03506	0,03456
--	--	--	--	--	0,03294	0,07799	0,03515	0,03476
--	--	--	--	--	0,03303	0,07837	0,03525	0,03496
--	--	--	--	--	0,03311	0,07875	0,03534	0,03517
--	--	--	--	--	0,0332	0,07913	0,03544	0,03538
--	--	--	--	--	0,03326	0,07937	0,03553	0,03559
--	--	--	--	--	0,03329	0,07951	0,03562	0,03579
--	--	--	--	--	0,03338	0,07989	0,03572	0,036
--	--	--	--	--	0,03347	0,08027	0,03581	0,03622
--	--	--	--	--	0,03356	0,08065	0,03591	0,03643
--	--	--	--	--	0,03365	0,08104	0,036	0,03664
--	--	--	--	--	0,03374	0,08143	0,0361	0,03685
--	--	--	--	--	0,03383	0,08181	0,03619	0,03707
--	--	--	--	--	0,03392	0,0822	0,03629	0,03729
